"game_id","season","week","season_type","start_date","start_time_tbd","neutral_site","conference_game","attendance","venue_id","venue","home_id","home_team","home_conference","home_points","home_post_win_prob","away_id","away_team","away_conference","away_points","away_post_win_prob","excitement_index"
222432633,2002,2,"regular","2002-08-31T17:30:00.000Z",NA,FALSE,FALSE,67221,3810,"Nissan Stadium",2633,"Tennessee","SEC",47,NA,2751,"Wyoming","Mountain West",7,NA,NA
222430059,2002,2,"regular","2002-08-31T18:00:00.000Z",NA,FALSE,FALSE,43719,721,"Bobby Dodd Stadium at Historic Grant Field",59,"Georgia Tech","ACC",45,NA,238,"Vanderbilt","SEC",3,NA,NA
222430277,2002,2,"regular","2002-08-31T18:00:00.000Z",NA,FALSE,FALSE,54455,3842,"Mountaineer Field at Milan Puskar Stadium",277,"West Virginia","Big East",56,NA,236,"Chattanooga",NA,7,NA,NA
222430150,2002,2,"regular","2002-08-31T18:00:00.000Z",NA,FALSE,TRUE,23276,3982,"Wallace Wade Stadium",150,"Duke","ACC",23,NA,151,"East Carolina","Conference USA",16,NA,NA
222432483,2002,2,"regular","2002-08-31T18:00:00.000Z",NA,FALSE,FALSE,56386,3626,"Autzen Stadium",2483,"Oregon","Pac-10",36,NA,344,"Mississippi State","SEC",13,NA,NA
222430057,2002,2,"regular","2002-08-31T18:00:00.000Z",NA,FALSE,FALSE,85575,NA,NA,57,"Florida","SEC",51,NA,5,"UAB","Conference USA",3,NA,NA
222432032,2002,2,"regular","2002-08-31T19:00:00.000Z",NA,FALSE,FALSE,0,NA,NA,2032,"Arkansas State","Sun Belt",14,NA,23,"San José State","Western Athletic",33,NA,NA
222430152,2002,2,"regular","2002-08-31T19:00:00.000Z",NA,FALSE,FALSE,42507,3670,"Carter-Finley Stadium",152,"NC State","ACC",34,NA,2193,"East Tennessee State",NA,0,NA,NA
222430135,2002,2,"regular","2002-08-31T19:00:00.000Z",NA,FALSE,FALSE,32209,NA,NA,135,"Minnesota","Big Ten",42,NA,326,"Texas State",NA,0,NA,NA
222430145,2002,2,"regular","2002-08-31T19:00:00.000Z",NA,FALSE,FALSE,58151,3974,"Vaught-Hemingway Stadium",145,"Ole Miss","SEC",31,NA,2433,"Louisiana Monroe","Sun Belt",3,NA,NA
222430164,2002,2,"regular","2002-08-31T19:00:00.000Z",NA,FALSE,FALSE,20911,3754,"High Point Solutions Stadium",164,"Rutgers","Big East",19,NA,222,"Villanova",NA,37,NA,NA
222430276,2002,2,"regular","2002-08-31T19:00:00.000Z",NA,FALSE,FALSE,31042,3775,"Joan C. Edwards Stadium",276,"Marshall","Mid-American",50,NA,2026,"Appalachian State",NA,17,NA,NA
222430245,2002,2,"regular","2002-08-31T19:00:00.000Z",NA,FALSE,FALSE,75087,3795,"Kyle Field",245,"Texas A&M","Big 12",31,NA,309,"Louisiana","Sun Belt",7,NA,NA
222430221,2002,2,"regular","2002-08-31T19:00:00.000Z",NA,FALSE,FALSE,41579,3752,"Heinz Field",221,"Pittsburgh","Big East",27,NA,195,"Ohio","Mid-American",14,NA,NA
222432390,2002,2,"regular","2002-08-31T19:00:00.000Z",NA,FALSE,FALSE,68548,NA,NA,2390,"Miami","Big East",63,NA,50,"Florida A&M",NA,17,NA,NA
222430158,2002,2,"regular","2002-08-31T19:00:00.000Z",NA,FALSE,FALSE,77831,3834,"Memorial Stadium",158,"Nebraska","Big 12",31,NA,2653,"Troy","FBS Independents",16,NA,NA
222432579,2002,2,"regular","2002-08-31T19:00:00.000Z",NA,FALSE,FALSE,83717,3994,"Williams-Brice Stadium",2579,"South Carolina","SEC",34,NA,166,"New Mexico State","Sun Belt",24,NA,NA
222432572,2002,2,"regular","2002-08-31T19:00:00.000Z",NA,FALSE,FALSE,35169,3815,"M. M. Roberts Stadium",2572,"Southern Mississippi","Conference USA",55,NA,2296,"Jackson State",NA,7,NA,NA
222432306,2002,2,"regular","2002-08-31T19:10:00.000Z",NA,FALSE,FALSE,45844,3636,"Bill Snyder Family Football Stadium",2306,"Kansas State","Big 12",48,NA,98,"Western Kentucky",NA,3,NA,NA
222430061,2002,2,"regular","2002-08-31T19:45:00.000Z",NA,FALSE,FALSE,86520,3917,"Sanford Stadium",61,"Georgia","SEC",31,NA,228,"Clemson","ACC",28,NA,NA
222432348,2002,2,"regular","2002-08-31T20:00:00.000Z",NA,FALSE,FALSE,31391,NA,NA,2348,"Louisiana Tech","Western Athletic",39,NA,197,"Oklahoma State","Big 12",36,NA,NA
222430242,2002,2,"regular","2002-08-31T20:00:00.000Z",NA,FALSE,FALSE,30747,3895,"Rice Stadium",242,"Rice","Western Athletic",10,NA,248,"Houston","Conference USA",24,NA,NA
222430235,2002,2,"regular","2002-08-31T20:00:00.000Z",NA,FALSE,FALSE,29694,3805,"Liberty Bowl Memorial Stadium",235,"Memphis","Conference USA",52,NA,93,"Murray State",NA,6,NA,NA
222432567,2002,2,"regular","2002-08-31T20:00:00.000Z",NA,FALSE,FALSE,0,3735,"Gerald J. Ford Stadium",2567,"SMU","Western Athletic",7,NA,2426,"Navy","FBS Independents",38,NA,NA
222430251,2002,2,"regular","2002-08-31T20:00:00.000Z",NA,FALSE,FALSE,83051,3910,"Darrell K Royal-Texas Memorial Stadium",251,"Texas","Big 12",27,NA,249,"North Texas","Sun Belt",0,NA,NA
222430120,2002,2,"regular","2002-08-31T20:00:00.000Z",NA,FALSE,FALSE,72903,NA,NA,120,"Maryland","ACC",0,NA,87,"Notre Dame","FBS Independents",22,NA,NA
222430068,2002,2,"regular","2002-08-31T20:05:00.000Z",NA,FALSE,FALSE,30878,3653,"Albertsons Stadium",68,"Boise State","Western Athletic",38,NA,70,"Idaho","Sun Belt",21,NA,NA
222430167,2002,2,"regular","2002-08-31T20:05:00.000Z",NA,FALSE,FALSE,35765,3971,"University Stadium",167,"New Mexico","Mountain West",38,NA,2692,"Weber State",NA,24,NA,NA
222432439,2002,2,"regular","2002-08-31T20:45:00.000Z",NA,FALSE,TRUE,42075,3914,"Sam Boyd Stadium",2439,"UNLV","Mountain West",7,NA,275,"Wisconsin","Big Ten",27,NA,NA
222430328,2002,2,"regular","2002-08-31T21:05:00.000Z",NA,FALSE,FALSE,30757,3905,"Romney Stadium",328,"Utah State","FBS Independents",3,NA,254,"Utah","Mountain West",23,NA,NA
222432638,2002,2,"regular","2002-08-31T21:05:00.000Z",NA,FALSE,FALSE,35036,3946,"Sun Bowl Stadium",2638,"UTEP","Western Athletic",42,NA,16,"Sacramento State",NA,12,NA,NA
222430009,2002,2,"regular","2002-08-31T22:00:00.000Z",NA,FALSE,FALSE,39581,3947,"Sun Devil Stadium",9,"Arizona State","Pac-10",38,NA,331,"Eastern Washington",NA,2,NA,NA
222430012,2002,2,"regular","2002-08-31T22:07:00.000Z",NA,FALSE,FALSE,48446,3619,"Arizona Stadium",12,"Arizona","Pac-10",37,NA,2464,"Northern Arizona",NA,3,NA,NA
222430062,2002,2,"regular","2002-08-31T23:05:00.000Z",NA,FALSE,FALSE,39958,3610,"Aloha Stadium",62,"Hawai'i","Western Athletic",61,NA,2197,"Eastern Illinois",NA,36,NA,NA
222440259,2002,2,"regular","2002-09-01T14:30:00.000Z",NA,FALSE,FALSE,65049,3799,"Lane Stadium",259,"Virginia Tech","Big East",26,NA,99,"LSU","SEC",8,NA,NA
222440097,2002,2,"regular","2002-09-01T18:00:00.000Z",NA,FALSE,FALSE,42660,3873,"Papa John's Cardinal Stadium",97,"Louisville","Conference USA",17,NA,96,"Kentucky","SEC",22,NA,NA
222452132,2002,2,"regular","2002-09-02T16:30:00.000Z",NA,FALSE,TRUE,25518,3854,"Nippert Stadium",2132,"Cincinnati","Conference USA",36,NA,2628,"TCU","Conference USA",29,NA,NA
222450030,2002,2,"regular","2002-09-02T20:00:00.000Z",NA,FALSE,FALSE,63269,477,"Los Angeles Memorial Coliseum",30,"USC","Pac-10",24,NA,2,"Auburn","SEC",17,NA,NA
222480218,2002,3,"regular","2002-09-05T19:00:00.000Z",NA,FALSE,FALSE,20162,3730,"Franklin Field",218,"Temple","Big East",3,NA,204,"Oregon State","Pac-10",35,NA,NA
222490252,2002,3,"regular","2002-09-06T19:00:00.000Z",NA,FALSE,FALSE,63085,3801,"LaVell Edwards Stadium",252,"BYU","Mountain West",35,NA,62,"Hawai'i","Western Athletic",32,NA,NA
222502426,2002,3,"regular","2002-09-07T12:00:00.000Z",NA,FALSE,FALSE,29613,3852,"Navy-Marine Corps Memorial Stadium",2426,"Navy","FBS Independents",19,NA,152,"NC State","ACC",65,NA,NA
222500221,2002,3,"regular","2002-09-07T12:00:00.000Z",NA,FALSE,FALSE,45489,3752,"Heinz Field",221,"Pittsburgh","Big East",12,NA,245,"Texas A&M","Big 12",14,NA,NA
222500041,2002,3,"regular","2002-09-07T12:00:00.000Z",NA,FALSE,FALSE,16751,NA,NA,41,"Connecticut","FBS Independents",14,NA,59,"Georgia Tech","ACC",31,NA,NA
